X	Y
1836.000	1440.000
1833.688	1430.682
1834.071	1420.255
1836.722	1409.157
1841.215	1397.830
1847.124	1386.712
1854.022	1376.245
1861.483	1366.867
1869.086	1359.010
1876.617	1352.746
1884.126	1347.689
1891.681	1343.427
1899.350	1339.545
1907.199	1335.629
1915.297	1331.265
1923.678	1326.177
1932.298	1320.440
1941.097	1314.178
1950.018	1307.520
1959.003	1300.591
1967.994	1293.519
1976.933	1286.431
1985.764	1279.450
1994.470	1272.665
2003.056	1266.143
2011.527	1259.949
2019.892	1254.149
2028.154	1248.809
2036.322	1243.995
2044.404	1239.767
2052.469	1236.111
2060.637	1232.942
2069.033	1230.176
2077.778	1227.726
2086.996	1225.506
2096.809	1223.430
2107.256	1221.448
2118.229	1219.574
2129.604	1217.829
2141.257	1216.232
2153.064	1214.804
2164.902	1213.565
2176.646	1212.536
2188.175	1211.734
2199.420	1211.096
2210.395	1210.436
2221.118	1209.562
2231.608	1208.280
2241.883	1206.398
2251.963	1203.722
2261.865	1200.058
2271.609	1195.299
2281.224	1189.684
2290.738	1183.546
2300.180	1177.217
2309.580	1171.030
2318.966	1165.316
2328.367	1160.409
2337.812	1156.636
2347.296	1154.206
2356.771	1153.169
2366.188	1153.563
2375.496	1155.428
2384.645	1158.804
2393.586	1163.730
2402.274	1170.212
2410.690	1178.099
2418.824	1187.195
2426.664	1197.303
2434.200	1208.228
2441.421	1219.774
2448.315	1231.744
2454.872	1243.943
2461.081	1256.174
2466.953	1268.293
2472.551	1280.277
2477.948	1292.119
2483.213	1303.814
2488.419	1315.357
2493.637	1326.742
2498.937	1337.962
2504.392	1349.013
2510.071	1359.888
2516.000	1370.601
2522.142	1381.189
2528.453	1391.694
2534.889	1402.156
2541.409	1412.616
2547.967	1423.113
2554.522	1433.688
2561.030	1444.383
2567.450	1455.226
2573.749	1466.179
2579.899	1477.179
2585.873	1488.160
2591.643	1499.059
2597.179	1509.809
2602.455	1520.348
2607.443	1530.609
2612.116	1540.534
2616.522	1550.166
2620.788	1559.669
2625.044	1569.213
2629.423	1578.966
2634.054	1589.098
2639.069	1599.777
2644.598	1611.173
2650.730	1623.411
2657.187	1636.248
2663.510	1649.261
2669.239	1662.023
2673.914	1674.108
2677.074	1685.090
2678.261	1694.543
2677.014	1702.042
2672.916	1707.194
2666.025	1709.996
2656.706	1710.691
2645.328	1709.527
2632.260	1706.752
2617.870	1702.612
2602.528	1697.354
2586.601	1691.228
2570.458	1684.478
2554.380	1677.311
2538.469	1669.845
2522.799	1662.186
2507.448	1654.439
2492.493	1646.713
2478.009	1639.112
2464.073	1631.744
2450.761	1624.715
2438.151	1618.131
2426.318	1612.098
2415.338	1606.723
2405.165	1602.026
2395.517	1597.865
2386.083	1594.078
2376.553	1590.503
2366.619	1586.978
2355.970	1583.342
2344.296	1579.433
2331.315	1575.101
2317.055	1570.334
2301.756	1565.216
2285.657	1559.829
2269.003	1554.256
2252.033	1548.581
2234.990	1542.888
2218.115	1537.259
2201.651	1531.779
2185.838	1526.530
2170.918	1521.595
2157.133	1517.059
2144.578	1512.965
2133.041	1509.277
2122.269	1505.947
2112.011	1502.926
2102.015	1500.168
2092.027	1497.625
2081.796	1495.248
2071.074	1492.991
2059.734	1490.825
2047.787	1488.741
2035.252	1486.733
2022.146	1484.792
2008.488	1482.913
1994.296	1481.088
1979.589	1479.309
1964.385	1477.569
1948.701	1475.862
1932.637	1474.144
1916.537	1472.265
1900.797	1470.050
1885.811	1467.326
1871.973	1463.919
1859.678	1459.657
1849.322	1454.365
1841.297	1447.871
1836.000	1440.000
