X	Y
1512.000	1452.000
1511.579	1445.837
1513.340	1439.115
1516.889	1431.929
1521.834	1424.374
1527.781	1416.546
1534.337	1408.539
1541.109	1400.450
1547.704	1392.374
1553.811	1384.393
1559.499	1376.533
1564.946	1368.800
1570.332	1361.203
1575.834	1353.750
1581.632	1346.447
1587.902	1339.304
1594.824	1332.328
1602.576	1325.527
1611.249	1318.899
1620.646	1312.409
1630.515	1306.018
1640.602	1299.685
1650.653	1293.369
1660.416	1287.031
1669.637	1280.629
1678.063	1274.123
1685.440	1267.474
1691.516	1260.639
1696.120	1253.592
1699.534	1246.366
1702.183	1239.017
1704.493	1231.601
1706.891	1224.171
1709.804	1216.784
1713.657	1209.495
1718.863	1202.358
1725.534	1195.402
1733.491	1188.631
1742.544	1182.049
1752.501	1175.659
1763.172	1169.465
1774.367	1163.470
1785.894	1157.678
1797.562	1152.092
1809.183	1146.715
1820.563	1141.551
1831.528	1136.603
1842.052	1131.856
1852.203	1127.292
1862.047	1122.887
1871.655	1118.620
1881.093	1114.469
1890.430	1110.414
1899.734	1106.433
1909.073	1102.504
1918.516	1098.606
1928.119	1094.708
1937.869	1090.730
1947.726	1086.568
1957.648	1082.120
1967.595	1077.283
1977.524	1071.953
1987.395	1066.029
1997.167	1059.408
2006.799	1051.986
2016.249	1043.661
2025.478	1034.334
2034.483	1024.080
2043.314	1013.211
2052.027	1002.055
2060.675	990.943
2069.312	980.202
2077.994	970.162
2086.773	961.153
2095.704	953.503
2104.841	947.542
2114.239	943.598
2123.952	942.002
2134.014	942.984
2144.378	946.389
2154.979	951.959
2165.750	959.436
2176.624	968.565
2187.534	979.089
2198.413	990.750
2209.196	1003.291
2219.815	1016.456
2230.204	1029.988
2240.296	1043.629
2250.024	1057.124
2259.322	1070.215
2268.132	1082.664
2276.484	1094.424
2284.459	1105.562
2292.141	1116.145
2299.612	1126.241
2306.954	1135.916
2314.250	1145.240
2321.582	1154.278
2329.033	1163.100
2336.685	1171.771
2344.622	1180.360
2352.924	1188.935
2361.649	1197.542
2370.776	1206.171
2380.269	1214.800
2390.094	1223.408
2400.215	1231.973
2410.598	1240.475
2421.208	1248.892
2432.009	1257.202
2442.969	1265.385
2454.050	1273.418
2465.219	1281.281
2476.440	1288.951
2487.681	1296.412
2498.927	1303.668
2510.167	1310.731
2521.392	1317.613
2532.592	1324.329
2543.757	1330.889
2554.878	1337.307
2565.943	1343.596
2576.945	1349.767
2587.872	1355.835
2598.716	1361.810
2609.465	1367.707
2620.120	1373.541
2630.723	1379.348
2641.328	1385.167
2651.989	1391.038
2662.761	1397.003
2673.699	1403.099
2684.856	1409.369
2696.288	1415.852
2708.047	1422.588
2720.190	1429.617
2732.771	1436.979
2745.843	1444.715
2759.426	1452.850
2773.309	1461.322
2787.189	1470.030
2800.763	1478.875
2813.726	1487.756
2825.776	1496.574
2836.609	1505.230
2845.921	1513.623
2853.409	1521.654
2858.769	1529.222
2861.698	1536.229
2861.893	1542.573
2859.177	1548.187
2853.759	1553.092
2845.920	1557.329
2835.941	1560.938
2824.102	1563.958
2810.685	1566.429
2795.969	1568.392
2780.236	1569.887
2763.766	1570.954
2746.840	1571.631
2729.740	1571.961
2712.731	1571.980
2695.919	1571.712
2679.304	1571.170
2662.883	1570.365
2646.656	1569.310
2630.620	1568.017
2614.773	1566.499
2599.114	1564.768
2583.640	1562.835
2568.350	1560.715
2553.241	1558.417
2538.313	1555.956
2523.562	1553.343
2508.987	1550.590
2494.586	1547.710
2480.356	1544.716
2466.286	1541.623
2452.366	1538.444
2438.585	1535.196
2424.932	1531.892
2411.397	1528.548
2397.968	1525.179
2384.634	1521.800
2371.386	1518.426
2358.211	1515.071
2345.100	1511.750
2332.041	1508.479
2319.024	1505.272
2306.047	1502.143
2293.129	1499.098
2280.291	1496.146
2267.553	1493.295
2254.936	1490.552
2242.460	1487.924
2230.147	1485.421
2218.017	1483.048
2206.090	1480.815
2194.389	1478.728
2182.932	1476.795
2171.739	1475.024
2160.779	1473.411
2149.981	1471.942
2139.274	1470.604
2128.584	1469.384
2117.839	1468.268
2106.968	1467.244
2095.898	1466.298
2084.556	1465.417
2072.872	1464.587
2060.771	1463.794
2048.228	1463.033
2035.297	1462.306
2022.042	1461.619
2008.526	1460.976
1994.815	1460.381
1980.973	1459.842
1967.062	1459.360
1953.149	1458.943
1939.295	1458.595
1925.567	1458.321
1912.026	1458.125
1898.739	1458.012
1885.761	1457.986
1873.099	1458.032
1860.731	1458.128
1848.639	1458.250
1836.803	1458.378
1825.203	1458.489
1813.821	1458.560
1802.636	1458.569
1791.630	1458.494
1780.781	1458.312
1770.072	1458.003
1759.484	1457.557
1749.009	1457.035
1738.639	1456.508
1728.368	1456.052
1718.188	1455.740
1708.093	1455.646
1698.077	1455.844
1688.131	1456.408
1678.249	1457.412
1668.424	1458.923
1658.633	1460.895
1648.841	1463.186
1639.014	1465.651
1629.115	1468.146
1619.110	1470.527
1608.965	1472.647
1598.643	1474.364
1588.111	1475.532
1577.332	1476.006
1566.349	1475.676
1555.462	1474.540
1545.027	1472.619
1535.396	1469.935
1526.924	1466.509
1519.964	1462.364
1514.872	1457.520
1512.000	1452.000
